scenario,expected_reason_codes,observed_reason_codes,missing_expected,unexpected_observed,match
combined_fault.csv,LOW_BATTERY;PACKET_LOSS;IMU_DROPOUT;GPS_FIX_LOSS;GPS_JUMP,LOW_BATTERY;PACKET_LOSS;IMU_DROPOUT;GPS_FIX_LOSS;GPS_JUMP;DUPLICATE_PACKET;IMU_FROZEN,NONE,DUPLICATE_PACKET;IMU_FROZEN,PASS
duplicate_packet.csv,DUPLICATE_PACKET,PACKET_LOSS;DUPLICATE_PACKET,NONE,PACKET_LOSS,PASS
frozen_imu.csv,IMU_FROZEN,IMU_FROZEN,NONE,NONE,PASS
gps_fix_loss.csv,GPS_FIX_LOSS,GPS_FIX_LOSS,NONE,NONE,PASS
gps_imu_inconsistency.csv,GPS_IMU_INCONSISTENCY,GPS_JUMP;GPS_IMU_INCONSISTENCY,NONE,GPS_JUMP,PASS
gps_jump.csv,GPS_JUMP,GPS_JUMP;GPS_IMU_INCONSISTENCY,NONE,GPS_IMU_INCONSISTENCY,PASS
low_battery.csv,LOW_BATTERY,LOW_BATTERY,NONE,NONE,PASS
normal_flight.csv,NONE,NONE,NONE,NONE,PASS
out_of_order_packets.csv,OUT_OF_ORDER_PACKET,PACKET_LOSS;OUT_OF_ORDER_PACKET,NONE,PACKET_LOSS,PASS
packet_loss.csv,PACKET_LOSS,PACKET_LOSS,NONE,NONE,PASS
sensor_dropout.csv,IMU_DROPOUT,IMU_DROPOUT;IMU_FROZEN,NONE,IMU_FROZEN,PASS
